,index,song_name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
380,6C5k3fZmSi2ew9sZtWB8Ax,Angel,DVBBS,0.512,0.85,7,-4.956,0,0.0329,0.0247,0.0,0.334,0.331,128.031,audio_features,6C5k3fZmSi2ew9sZtWB8Ax,spotify:track:6C5k3fZmSi2ew9sZtWB8Ax,https://api.spotify.com/v1/tracks/6C5k3fZmSi2ew9sZtWB8Ax,https://api.spotify.com/v1/audio-analysis/6C5k3fZmSi2ew9sZtWB8Ax,209652,4
381,0SZqc82jwXtfomwo11gtVh,Body Talk (feat. Julian Perretta) - Radio Edit,Dimitri Vegas & Like Mike,0.561,0.922,7,-4.748,1,0.295,0.00263,1.87e-05,0.506,0.634,127.999,audio_features,0SZqc82jwXtfomwo11gtVh,spotify:track:0SZqc82jwXtfomwo11gtVh,https://api.spotify.com/v1/tracks/0SZqc82jwXtfomwo11gtVh,https://api.spotify.com/v1/audio-analysis/0SZqc82jwXtfomwo11gtVh,207103,4
382,0QIYINh2AwmOmdu8CRYvlw,Bonfire,Knife Party,0.536,0.944,1,-3.029,1,0.0867,0.000117,0.00345,0.353,0.589,174.031,audio_features,0QIYINh2AwmOmdu8CRYvlw,spotify:track:0QIYINh2AwmOmdu8CRYvlw,https://api.spotify.com/v1/tracks/0QIYINh2AwmOmdu8CRYvlw,https://api.spotify.com/v1/audio-analysis/0QIYINh2AwmOmdu8CRYvlw,272078,4
383,0MyfJah9XRKoF68chrxVmZ,Bouncybob (feat. Justin Mylo & Mesto),Martin Garrix,0.73,0.896,9,-7.863,0,0.0692,0.000727,0.806,0.13,0.331,128.012,audio_features,0MyfJah9XRKoF68chrxVmZ,spotify:track:0MyfJah9XRKoF68chrxVmZ,https://api.spotify.com/v1/tracks/0MyfJah9XRKoF68chrxVmZ,https://api.spotify.com/v1/audio-analysis/0MyfJah9XRKoF68chrxVmZ,251260,4
384,2hSltlbnyQtKvfaZ1EjljN,Break Through The Silence - Original Mix,Martin Garrix,0.574,0.959,9,-5.529,1,0.0634,0.00327,0.0235,0.0691,0.206,128.012,audio_features,2hSltlbnyQtKvfaZ1EjljN,spotify:track:2hSltlbnyQtKvfaZ1EjljN,https://api.spotify.com/v1/tracks/2hSltlbnyQtKvfaZ1EjljN,https://api.spotify.com/v1/audio-analysis/2hSltlbnyQtKvfaZ1EjljN,283140,4
385,0QHnxQsdunrlmduVLPQCNy,Can't Go Home (feat. Adam Lambert) - Radio Edit,Steve Aoki,0.662,0.797,0,-5.209,1,0.0951,0.0182,2.26e-05,0.279,0.673,123.947,audio_features,0QHnxQsdunrlmduVLPQCNy,spotify:track:0QHnxQsdunrlmduVLPQCNy,https://api.spotify.com/v1/tracks/0QHnxQsdunrlmduVLPQCNy,https://api.spotify.com/v1/audio-analysis/0QHnxQsdunrlmduVLPQCNy,183577,4
386,60HuL4PsomRiWh79KBV7jk,Flashlight - Original Edit,R3HAB,0.671,0.947,10,-3.638,1,0.046,0.0304,0.632,0.304,0.393,128.03,audio_features,60HuL4PsomRiWh79KBV7jk,spotify:track:60HuL4PsomRiWh79KBV7jk,https://api.spotify.com/v1/tracks/60HuL4PsomRiWh79KBV7jk,https://api.spotify.com/v1/audio-analysis/60HuL4PsomRiWh79KBV7jk,178253,4
387,3m3OwRXheUtBRKmcVNUsFo,Helicopter - Original Edit,Martin Garrix,0.601,0.962,3,-4.52,1,0.0427,0.00984,0.291,0.0977,0.0749,128.055,audio_features,3m3OwRXheUtBRKmcVNUsFo,spotify:track:3m3OwRXheUtBRKmcVNUsFo,https://api.spotify.com/v1/tracks/3m3OwRXheUtBRKmcVNUsFo,https://api.spotify.com/v1/audio-analysis/3m3OwRXheUtBRKmcVNUsFo,202507,4
388,2mviqu3iMdsQjeWSxBk7gf,Higher Place (feat. Ne-Yo),Dimitri Vegas & Like Mike,0.71,0.614,7,-6.253,1,0.0743,0.246,4.14e-05,0.151,0.557,124.932,audio_features,2mviqu3iMdsQjeWSxBk7gf,spotify:track:2mviqu3iMdsQjeWSxBk7gf,https://api.spotify.com/v1/tracks/2mviqu3iMdsQjeWSxBk7gf,https://api.spotify.com/v1/audio-analysis/2mviqu3iMdsQjeWSxBk7gf,174010,4
389,56DwfNdpXlUYshzPZnWJ5V,Letting Go - Radio Version,Da Tweekaz,0.47,0.915,5,-3.594,0,0.0408,0.0685,5.22e-05,0.2,0.244,149.951,audio_features,56DwfNdpXlUYshzPZnWJ5V,spotify:track:56DwfNdpXlUYshzPZnWJ5V,https://api.spotify.com/v1/tracks/56DwfNdpXlUYshzPZnWJ5V,https://api.spotify.com/v1/audio-analysis/56DwfNdpXlUYshzPZnWJ5V,200695,4
