,company_name,position,location,url,date_posted,Number of applicants,full-time/part-time,seniority level,employees,descriptions,industry,top competitive skills,Hiring Trend Company Wide,Hiring Trend Company Wide-Engineering,Median Tenure,search_keyword
0,,,,https://www.linkedin.com/jobs/search/?geoId=103035651&keywords=%22digital%20growth%22&location=Berlin%2C%20Germany,,,,,,,,[],,,,"""digital growth"""
1,,,,https://www.linkedin.com/jobs/search/?geoId=103035651&keywords=%22digital%20growth%22&location=Berlin%2C%20Germany,,,,,,,,[],,,,"""digital growth"""
2,,,,https://www.linkedin.com/jobs/search/?geoId=103035651&keywords=%22digital%20growth%22&location=Berlin%2C%20Germany,,,,,,,,[],,,,"""digital growth"""
